[1969] 27 Aug 09:23:23 # Warning: no config file specified, using the default config. In order to specify a config file use 'redis-server /path/to/redis.conf'
[1969] 27 Aug 09:23:23 * Server started, Redis version 2.2.12
[1969] 27 Aug 09:23:23 # WARNING overcommit_memory is set to 0! Background save may fail under low memory condition. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
[1969] 27 Aug 09:23:23 * The server is now ready to accept connections on port 6379
[1969] 27 Aug 09:23:23 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:23:26 - Accepted 127.0.0.1:40967
[1969] 27 Aug 09:23:28 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:23:33 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:23:36 - Client closed connection
[1969] 27 Aug 09:23:38 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:23:43 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:23:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:23:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:23:54 - Accepted 127.0.0.1:40974
[1969] 27 Aug 09:23:58 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:02 - Client closed connection
[1969] 27 Aug 09:24:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:24:05 - Accepted 127.0.0.1:40977
[1969] 27 Aug 09:24:08 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:13 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:18 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:23 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:28 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:33 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:38 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:43 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:24:45 - Client closed connection
[1969] 27 Aug 09:24:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:24:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:24:58 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:08 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:13 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:18 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:23 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:24 - Accepted 127.0.0.1:40982
[1969] 27 Aug 09:25:28 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:25:29 - Client closed connection
[1969] 27 Aug 09:25:33 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:38 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:43 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:25:58 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:26:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:26:04 - Accepted 127.0.0.1:37246
[1969] 27 Aug 09:26:08 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:26:09 - Client closed connection
[1969] 27 Aug 09:26:13 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:26:18 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:26:23 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:26:25 - Accepted 127.0.0.1:37252
[1969] 27 Aug 09:26:28 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:26:33 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:26:38 - 1 clients connected (0 slaves), 547408 bytes in use
[1969] 27 Aug 09:26:39 - Client closed connection
[1969] 27 Aug 09:26:43 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:26:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:26:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:26:58 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:08 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:13 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:18 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:23 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:28 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:33 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:38 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:43 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:27:58 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:08 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:13 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:18 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:23 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:28 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:33 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:38 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:43 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:28:58 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:08 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:13 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:18 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:23 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:28 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:33 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:38 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:43 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:29:58 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:08 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:13 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:18 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:23 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:28 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:33 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:38 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:43 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:30:58 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:08 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:13 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:18 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:23 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:28 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:33 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:38 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:43 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:48 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:53 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:31:58 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:32:03 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:32:08 - 0 clients connected (0 slaves), 539544 bytes in use
[1969] 27 Aug 09:32:13 - 0 clients connected (0 slaves), 539544 bytes in use
